x,y,z,ax,ay,az,aw,s,ss
1131.22,1183.27,0.1069651,0.0,0.0,0.0436201197059201,0.9990481896069084,0.0,0.0
909.48,1128.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0
909.486,1128.67,0.0,0.0,0.0,0.0,1.0,0.005999999999971806,0.005999999999971806
909.5,1128.67,0.0,0.0,0.0,0.0,1.0,0.01999999999998181,0.014000000000010004
909.51,1128.67,0.0,0.0,0.0,0.0,1.0,0.029999999999972715,0.009999999999990905
909.522,1128.67,0.0,0.0,0.0,0.0,1.0,0.04200000000003001,0.012000000000057298
909.612,1128.67,0.0,0.0,0.0,0.0,1.0,0.13199999999994816,0.08999999999991815
909.69,1128.67,0.0,0.0,0.0,0.0,1.0,0.21000000000003638,0.07800000000008822
909.786,1128.67,0.0,0.0,0.0,0.0,1.0,0.30599999999992633,0.09599999999988995
909.9,1128.67,0.0,0.0,0.0,0.0,1.0,0.4199999999999591,0.11400000000003274
909.986,1128.67,0.0,0.0,0.0,0.0,1.0,0.5059999999999718,0.08600000000001273
910.182,1128.67,0.0,0.0,0.0,0.0,1.0,0.7019999999999982,0.19600000000002638
910.35,1128.67,0.0,0.0,0.0,0.0,1.0,0.8700000000000045,0.16800000000000637
910.472,1128.67,0.0,0.0,0.0,0.0,1.0,0.9919999999999618,0.12199999999995725
910.74,1128.67,0.0,0.0,0.0,0.0034415992313997215,0.9999940776798283,1.259999999999991,0.2680000000000291
910.961,1128.67,0.0,0.0,0.0,0.0,1.0,1.4809999999999945,0.22100000000000364
911.201,1128.67,0.0,0.0,0.0,0.0029465216658714384,0.9999956589956142,1.7210000000000036,0.2400000000000091
911.459,1128.67,0.0,0.0,0.0,0.0027484450527187243,0.9999962230177633,1.9789999999999281,0.2579999999999245
911.641,1128.67,0.0,0.0,0.0,0.0,1.0,2.1609999999999445,0.18200000000001637
912.131,1128.67,0.0,0.0,0.0,0.0,1.0,2.6509999999999536,0.4900000000000091
912.34,1128.67,0.0,0.0,0.0,0.0,1.0,2.8600000000000136,0.20900000000006003
912.781,1128.67,0.0,0.0,0.0,0.0,1.0,3.300999999999931,0.44099999999991724
913.131,1128.67,0.0,0.0,0.0,0.0020394507236959803,0.9999979203182102,3.6509999999999536,0.35000000000002274
913.375,1128.68,0.0,0.0,0.0,0.003952916115015639,0.9999921871965739,3.895204832057007,0.24420483205705323
913.885,1128.68,0.0,0.0,0.0,0.0037206232288255585,0.9999930784574407,4.405204832056998,0.5099999999999909
914.288,1128.68,0.0,0.0,0.0,0.003786936546602517,0.9999928295300882,4.808204832057018,0.40300000000002
914.707,1128.69,0.0,0.0,0.0,0.003424687090568041,0.999994135741971,5.227324146811164,0.4191193147541465
915.144,1128.69,0.0,0.0,0.0,0.005140015646733557,0.999986790032324,5.664324146811176,0.4370000000000118
915.445,1128.69,0.0,0.0,0.0,0.006618772523017693,0.9999780956852448,5.965324146811221,0.30100000000004457
916.231,1128.7,0.0,0.0,0.0,0.00623641368896952,0.9999805533830646,6.751387757468725,0.7860636106575043
916.724,1128.71,0.0,0.0,0.0,0.008939021043671707,0.9999600461532354,7.2444891669171785,0.49310140944845304
917.235,1128.72,0.0,0.0,0.0,0.011468132587353592,0.999934238805212,7.755587004909051,0.5110978379918725
917.763,1128.73,0.0,0.0,0.0,0.014002144471103891,0.9999019651696912,8.283681693388324,0.5280946884792735
918.125,1128.74,0.0,0.0,0.0,0.01504399609810628,0.9998868326872797,8.645819788595077,0.3621380952067532
918.87,1128.77,0.0,0.0,0.0,0.015904776648184203,0.9998735110401572,9.391423570774329,0.7456037821792517
919.449,1128.79,0.0,0.0,0.0,0.015261962694405605,0.9998835294646645,9.970768890941793,0.5793453201674649
919.845,1128.8,0.0,0.0,0.0,0.01513744783537756,0.9998854222724878,10.366895133445437,0.3961262425036452
920.659,1128.82,0.0,0.0,0.0,0.015613430113815408,0.9998781029705976,11.181140796620834,0.8142456631753967
921.289,1128.84,0.0,0.0,0.0,0.015204198997519366,0.9998844094858385,11.811458176993606,0.6303173803727719
921.936,1128.86,0.0,0.0,0.0,0.01608190490505737,0.9998706778051973,12.458767222195402,0.6473090452017967
922.6,1128.88,0.0,0.0,0.0,0.016757343513292264,0.9998595858611236,13.123068358729121,0.6643011365337195
